,text,intent
0,"Vai nella stanza a sinistra, adesso.",MoveToRoom
1,Vai nella stanza a sinistra adesso.,MoveToRoom
2,Muoviti nella stanza a sinistra.,MoveToRoom
3,Spostati nella stanza a sinistra adesso.,MoveToRoom
4,Spostati nella stanza a sinistra subito!,MoveToRoom
5,Muoviti nella stanza a sinistra adesso.,MoveToRoom
6,Muoviti nella stanza a sinistra adesso!,MoveToRoom
7,"Spostati subito nella stanza a sinistra, adesso!",MoveToRoom
8,"Muoviti nella stanza a sinistra adesso, senza discussioni.",MoveToRoom
9,Muoviti nella stanza a sinistra subito.,MoveToRoom
10,Spostati nella stanza a sinistra subito.,MoveToRoom
11,"Mi scusi, sarebbe possibile spostarsi gentilmente nella stanza a sinistra, per favore? Grazie mille.",MoveToRoom
12,"Scusa, potresti gentilmente spostarti nella stanza a sinistra per favore?",MoveToRoom
13,"Mi scusi, potrebbe gentilmente spostarsi nella stanza a sinistra, per favore?",MoveToRoom
14,"Mi scusi, potrebbe cortesemente spostarsi nella stanza a sinistra, per favore?",MoveToRoom
15,"Potrebbe spostarsi nella stanza a sinistra, per favore?",MoveToRoom
16,Si prega di spostarsi nella stanza a sinistra.,MoveToRoom
17,"Per favore, spostati nella stanza a sinistra.",MoveToRoom
18,Ti prego di spostarti nella stanza a sinistra,MoveToRoom
19,Ti prego di spostarti nella stanza a sinistra.,MoveToRoom
20,Si sposti nella stanza a sinistra.,MoveToRoom
21,"Si prega di spostarsi nella stanza a sinistra, per favore.",MoveToRoom
22,"Scusi, potrebbe spostarsi nella stanza a sinistra, per favore?",MoveToRoom
23,"Potrebbe spostarsi gentilmente nella stanza a sinistra, per favore?",MoveToRoom
24,"Mi scusi, potrebbe spostarsi gentilmente nella stanza a sinistra per favore?",MoveToRoom
25,"Per favore, potresti spostarti nella stanza a sinistra?",MoveToRoom
26,"Mi scusi, potrebbe gentilmente spostarsi nella stanza a sinistra?",MoveToRoom
27,"Potresti spostarti nella stanza a sinistra, per favore?",MoveToRoom
28,"Scusa, potresti gentilmente spostarti nella stanza a sinistra? Grazie mille.",MoveToRoom
29,"Ciao, scusami se ti disturbo. Potresti spostarti nella stanza a sinistra, per favore? Grazie mille!",MoveToRoom
30,"Ciao, scusa se ti disturbo. Vorrei chiederti un favore: potresti spostarti nella stanza a sinistra per favore? Mi sarebbe di grande aiuto. Grazie mille!",MoveToRoom
31,"Scusa, potresti per favore spostarti nella stanza a sinistra, per favore? Grazie mille.",MoveToRoom
32,"Scusa, potresti spostarti nella stanza a sinistra per favore?",MoveToRoom
33,"Scusa, potresti spostarti gentilmente nella stanza a sinistra, per favore?",MoveToRoom
34,"Ciao, posso chiederti un favore? Potresti spostarti nella stanza a sinistra, per favore? Grazie mille!",MoveToRoom
35,"Hey, scusa, potresti spostarti nella stanza a sinistra per favore? Grazie.",MoveToRoom
36,"Potresti spostarti gentilmente nella stanza a sinistra, per favore?",MoveToRoom
37,Potresti spostarti gentilmente nella stanza a sinistra per favore?,MoveToRoom
38,"Scusa, potremmo spostarci nella stanza a sinistra per favore?",MoveToRoom
39,"Spostati nella stanza a sinistra, adesso!",MoveToRoom
40,"Muoviti nella stanza a sinistra, adesso.",MoveToRoom
41,Spostati nella stanza a sinistra immediatamente.,MoveToRoom
42,Spostati nella stanza a sinistra adesso!,MoveToRoom
43,"Spostati nella stanza a sinistra adesso, immediatamente.",MoveToRoom
44,"Vai nella stanza a sinistra adesso, senza discutere!",MoveToRoom
45,"Vai subito nella stanza a sinistra, senza perdere tempo!",MoveToRoom
46,Vai nella stanza a sinistra immediatamente!,MoveToRoom
47,"Ciao! Scusa il disturbo, potresti gentilmente spostarti nella stanza a sinistra per favore? Grazie mille!",MoveToRoom
48,"Scusa, potresti gentilmente spostarti nella stanza a sinistra per favore? Grazie mille!",MoveToRoom
49,"Scusa, potresti spostarti gentilmente nella stanza a sinistra per favore?",MoveToRoom
